dt,sigma_x,sigma_y,sigma_z,z
0.01,5098.758866120088,5210.852546547113,10000.00003038676,251
0.09999999999999999,5141.334090960047,5137.514642809505,10000.000030386698,251
0.5,3600.9164167147806,1938.783160587845,10000.000030354231,251
1.0,1934.5935584196332,5628.055454745537,9999.99988814256,251
9.999999999999999e-05,6392.317337511673,6392.5527929538675,9999.999996199846,276
0.0005,5709.8850900574225,5712.703576208909,9999.999976067766,276
0.001,5513.351409660133,5514.657516817573,9999.999962168007,276
0.005,5292.729652251597,5325.541686705068,9999.999931293409,276
0.01,5263.420065580866,5295.856756608908,9999.999924738742,276
0.09999999999999999,5750.169918724914,4713.710041516972,9999.999928865283,276
0.5,2884.8786093856725,6717.553137973035,9999.999560252025,276
1.0,5345.543857021614,1266.1150028422296,9999.999964370563,276
9.999999999999999e-05,6595.646602408334,6595.512705501772,10000.000022637229,301
0.0005,5967.7238111750285,5974.3498495583735,10000.000019675981,301
0.001,5753.670047153493,5740.268446775664,10000.000017462571,301
0.005,5476.33084847198,5498.511858522756,10000.000012669585,301
0.01,5470.582888151411,5425.523879731011,10000.000011733666,301
0.09999999999999999,5614.781537827485,5200.715699179674,10000.00001147621,301
0.5,4788.380779826394,5841.176014119644,9999.999760882223,301
1.0,6723.114452195354,3654.3531715661657,10000.000008538836,301
9.999999999999999e-05,6746.830480821089,6746.930279407868,10000.000022974906,326
0.0005,6216.484435549171,6216.281263739621,10000.000021044336,326
0.001,5989.3315455272505,5989.968592329049,10000.000019657986,326
0.005,5697.695983306029,5693.993432384809,10000.000016632455,326
0.01,5645.224154837685,5648.272236116608,10000.000016089076,326
0.09999999999999999,5654.322275716458,5548.72912061055,10000.000015508811,326
0.5,4881.2959460760085,5855.1285085223635,10000.000024825693,326
1.0,3987.077429934331,6823.405231848194,10000.000025274734,326
9.999999999999999e-05,6850.112847963195,6849.569901471369,10000.00003038735,351
0.0005,6425.39617581681,6423.934599349687,10000.000030387333,351
0.001,6213.125704247222,6218.186283695298,10000.000030387326,351
0.005,5898.402155299371,5931.172219656141,10000.000030387268,351
0.01,5859.954125155088,5864.0394198367785,10000.000030387284,351
0.09999999999999999,5899.261546955704,5722.026229259977,10000.000030387127,351
0.5,5783.051881858558,5829.718752649705,10000.000030380808,351
1.0,5272.623742231796,6251.604961277415,10000.00003037021,351
9.999999999999999e-05,6919.033422211173,6918.390137330846,10000.000023442555,376
0.0005,6587.734233021376,6579.654571953416,10000.000022623257,376
0.001,6404.748850868886,6417.511665825334,10000.000021955375,376
